column,dtype,missing_count,missing_pct,unique_count
VendorID,int32,0,0.0,3
passenger_count,float64,0,0.0,10
trip_distance,float64,0,0.0,4403
RatecodeID,float64,0,0.0,7
store_and_fwd_flag,str,0,0.0,2
PULocationID,int32,0,0.0,256
DOLocationID,int32,0,0.0,260
payment_type,int64,0,0.0,5
fare_amount,float64,0,0.0,3881
extra,float64,0,0.0,77
mta_tax,float64,0,0.0,6
tip_amount,float64,0,0.0,4190
tolls_amount,float64,0,0.0,1216
improvement_surcharge,float64,0,0.0,3
total_amount,float64,0,0.0,19856
congestion_surcharge,float64,0,0.0,3
Airport_fee,float64,0,0.0,7
cbd_congestion_fee,float64,0,0.0,3
Pickup_date,datetime64[us],0,0.0,33
Pickup_time,timedelta64[us],0,0.0,86183
Dropoff_date,datetime64[us],0,0.0,33
Dropoff_time,timedelta64[us],0,0.0,86134
